ID,Text,Comment
Faction.FulgurFangs.DisplayName,Fulgur Fangs,Name of a faction
Faction.FulgurFangs.Description,"A prototype faction built on Iron Teeth industry. For now it reuses Iron Teeth buildings, goods, and visuals while the electricity and badwater identity is still under construction.",Prototype faction description
NaturalResource.RubberPine.DisplayName,Rubber Pine,Name of the new tree
NaturalResource.RubberPine.FlavorDescription,A pine variant for Fulgur Fangs that yields rubber instead of resin.,Description of the new tree
Good.Rubber.DisplayName,Rubber,Name of the new resource
Good.Rubber.PluralDisplayName,Rubber,Plural name of the new resource
Good.RareEarthConcentrate.DisplayName,Rare Earth Concentrate,Name of the badwater concentrate
Good.RareEarthConcentrate.PluralDisplayName,Rare Earth Concentrate,Plural name of the badwater concentrate
Good.ConductiveComponents.DisplayName,Conductive Components,Name of the electrical intermediate
Good.ConductiveComponents.PluralDisplayName,Conductive Components,Plural name of the electrical intermediate
Good.AccumulatorCell.DisplayName,Accumulator Cell,Name of the late electrical resource
Good.AccumulatorCell.PluralDisplayName,Accumulator Cells,Plural name of the late electrical resource
Good.Salicornia.DisplayName,Salicornia,Name of the new hydroponic crop
Good.Salicornia.PluralDisplayName,Salicornia,Plural name of the new hydroponic crop
Good.FermentedSalicornia.DisplayName,Pickled Salicornia,Name of the new fermented food
Good.FermentedSalicornia.PluralDisplayName,Pickled Salicornia,Plural name of the new fermented food
Building.FulgurMine.DisplayName,Mine,Name of the basic Fulgur Fangs mine
Building.FulgurMine.Description,"A cheaper early mine for Fulgur Fangs. It can run in a barebones mode without additives or in a boosted mode using extract and planks.",Description of the basic Fulgur Fangs mine
Building.FulgurElectricMine.DisplayName,Electrified Mine,Name of the electrified Fulgur Fangs mine
Building.FulgurElectricMine.Description,"A late Fulgur Fangs mine. Electricity is currently a placeholder requirement while the building converts extract, conductive components, and planks into large metal output.",Description of the electrified Fulgur Fangs mine
Manufactory.Recipe.FulgurMine.Basic,Basic metal extraction,Name of the basic mine recipe
Manufactory.Recipe.FulgurMine.Supported,Supported metal extraction,Name of the boosted mine recipe
Manufactory.Recipe.FulgurMine.Electric,Electrified metal extraction,Name of the electrified mine recipe
Building.MechanicalToElectricConverter.DisplayName,Basic Dynamo Converter,Mechanical to electric converter name
Building.MechanicalToElectricConverter.Description,"An early bridge between mechanical power and the Fulgur Fangs electric grid. Pulls rotation from shafts and feeds up to 500 EL into the wire network.",Mechanical to electric converter description
Building.UnlimitedMechanicalToElectricConverter.DisplayName,Advanced Dynamo Converter,Advanced mechanical to electric converter name
Building.UnlimitedMechanicalToElectricConverter.Description,"A heavy-duty converter for industrial districts. Draws up to 2000 mechanical power and feeds it into the electric network.",Advanced mechanical to electric converter description
Building.ElectricPole.DisplayName,Electric Pole,Electric pole name
Building.ElectricPole.Description,"The basic support for local transmission lines. Carries electricity for 20 m, only supports a straight pass-through, and loses 10 EL while the line is actively serving consumers.",Electric pole description
Building.Splitter.DisplayName,Splitter,Splitter name
Building.Splitter.Description,"A compact junction for dense electrical layouts. Works over short distance and can branch the network in up to four directions.",Splitter description
Building.TransmissionTower.DisplayName,Transmission Tower,Transmission tower name
Building.TransmissionTower.Description,"A long-distance backbone tower for moving power between districts. Carries electricity for 200 m and loses 30 EL under active load.",Transmission tower description
Building.Distributor.DisplayName,Distributor,Distributor name
Building.Distributor.Description,"A local substation for neighborhood supply. Connects to the wire network, creates a powered service area, and feeds nearby electric buildings.",Distributor description
Building.Accumulator.DisplayName,Accumulator,Accumulator name
Building.Accumulator.Description,"A buffer for the local electric grid. It does not connect by wire directly: instead it works inside a distributor's service area, stores up to 20000 EL, and supports the district during shortages.",Accumulator description
Building.GridTester.DisplayName,Grid Tester,Temporary electric consumer name
Building.GridTester.Description,"A technical consumer for validating the electric grid. Useful for quickly checking connectivity, losses, and delivered power in-game.",Temporary electric consumer description
ToolGroups.Electricity,Electric Grid,Electric grid build tab name
Electricity.Panel.Title,Electric Grid,Electric section title in the entity panel
Electricity.Panel.Active,Active energy,Active energy label in the entity panel
Electricity.Panel.NetworkCharge,Network charge,Network charge label in the entity panel
Electricity.Panel.AccumulatorCharge,Accumulator charge,Accumulator local charge label in the entity panel
